"query                                             ","activity_id                                                                                                                                           ","post_url                                                                                                                                                                                                                                                  ","author_name                                       ","author_type","author_vanity                                                                                       ","profile_url_guess                                                                                                       ","headline                                          ","post_snippet                                      ","post_text                                                                                                                                                                                               ","date_raw  ","fetched_at          "
"unsloth local finetune                            ","7434187489738694657                                                                                                                                   ","https://www.linkedin.com/posts/theaiengineering_fine-tune-your-llms-locally-with-unsloth-activity-7434187489738694657-N-0u                                                                                                                                ","AI Engineering                                    ","company    ","theaiengineering                                                                                    ","https://www.linkedin.com/company/theaiengineering                                                                       ","Software Engineer | AI Enthusiast                 ","Unsloth lets you fine - tune Llama, DeepSeek, Qwen","Fine-tune your LLMs locally with Unsloth! Most LLM                                                                                                                                                      ","3w        ","2026-08-16T23:00:12Z"
"unsloth local finetune                            ","7357655990919417856                                                                                                                                   ","https://www.linkedin.com/posts/erik-hai_unsloth-train-and-run-models-locally-activity-7357655990919417856-LmZi                                                                                                                                            ","Erik Hai                                          ","person     ","erik-hai                                                                                            ","https://www.linkedin.com/in/erik-hai                                                                                    ","EE Times | Electronic Engineering Times           ","This week, let's focus on what unsloth .ai is. Uns","Hai LinkedIn, I                                                                                                                                                                                         ","3w        ","2026-08-16T23:00:14Z"
"unsloth local finetune                            ","7440022351427137536                                                                                                                                   ","https://www.linkedin.com/posts/akshay-pachaar_fine-tune-500-llms-without-writing-any-code-activity-7440022351427137536-KHmP                                                                                                                               ","Akshay Pachaar                                    ","person     ","akshay-pachaar                                                                                      ","https://www.linkedin.com/in/akshay-pachaar                                                                              ","                                                  ","(100% open-source, local and FREE web UI) Unsloth ","Fine-tune 500+ LLMs without writing any code. (100                                                                                                                                                      ","3w        ","2026-08-16T23:00:16Z"
"unsloth local finetune                            ","7428003249972056064                                                                                                                                   ","https://www.linkedin.com/posts/lokendra2910_how-to-fine-tune-llms-with-unsloth-docker-activity-7428003249972056064-Kw7M                                                                                                                                   ","Lokendra Devangan                                 ","person     ","lokendra2910                                                                                        ","https://www.linkedin.com/in/lokendra2910                                                                                ","How to Fine-tune LLMs with Unsloth & Docker | Unsl","Fine - tuning large language models (LLMs) or runn","Fine-tuning large language models (LLMs) or runnin                                                                                                                                                      ","3w        ","2026-08-16T23:00:18Z"
"unsloth local finetune                            ","7481996126087397376                                                                                                                                   ","https://www.linkedin.com/posts/mubashir-ahmad-ms-ai-data-science-gold-medalist-176754178_llm-finetuning-unsloth-activity-7481996126087397376-EoVN                                                                                                         ","Mubashir Ahmad - (MS AI, Data Science - Gold Medal","person     ","mubashir-ahmad-ms-ai-data-science-gold-medalist-176754178                                           ","https://www.linkedin.com/in/mubashir-ahmad-ms-ai-data-science-gold-medalist-176754178                                   ","Blazing Fast pandas Without Changing a Line — Rese","Have you fine - tuned a model on your own custom d","𝐒𝐩𝐞𝐧𝐭 𝐭𝐨𝐝𝐚𝐲 𝐠𝐨𝐢𝐧𝐠 𝐡𝐚𝐧𝐝𝐬-𝐨𝐧 𝐰𝐢𝐭𝐡 𝐟𝐢𝐧𝐞-𝐭𝐮𝐧𝐢𝐧𝐠 𝐋𝐥𝐚𝐦𝐚-                                                                                                                                                      ","3w        ","2026-08-16T23:00:20Z"
"unsloth local finetune                            ","7288637176903319552                                                                                                                                   ","https://www.linkedin.com/feed/update/urn:li:activity:7288637176903319552                                                                                                                                                                                  ","Fast Fine Tuning with Unsloth | Matt Williams     ","person     ","technovangelist                                                                                     ","https://www.linkedin.com/in/technovangelist                                                                             ","Fast Fine Tuning with Unsloth | Matt Williams     ","Fast Fine Tuning with Unsloth . Fine - Tuning LLMs","Excited to share my latest deep dive into practica                                                                                                                                                      ","3w        ","2026-08-16T23:00:22Z"
"unsloth local finetune                            ","7423190844326727680                                                                                                                                   ","https://www.linkedin.com/feed/update/urn:li:activity:7423190844326727680                                                                                                                                                                                  ","Rupali Dash                                       ","person     ","rupali-dash-7508a18b                                                                                ","https://www.linkedin.com/in/rupali-dash-7508a18b                                                                        ","                                                  ","I’ve been using Ollama to run local LLMs for some ","I’ve been using Ollama to run local LLMs for some                                                                                                                                                       ","3w        ","2026-08-16T23:00:30Z"
"unsloth local finetune                            ","7452460749148450816                                                                                                                                   ","https://www.linkedin.com/feed/update/urn:li:activity:7452460749148450816                                                                                                                                                                                  ","Fine-tuning and running LLMs locally got a whole l","person     ","amanintech                                                                                          ","https://www.linkedin.com/in/amanintech                                                                                  ","                                                  ","Fine-tuning and running LLMs locally got a whole l","Fine-tuning and running LLMs locally got a whole l                                                                                                                                                      ","3w        ","2026-08-16T23:00:31Z"
"unsloth local finetune                            ","7307371490583158785                                                                                                                                   ","https://www.linkedin.com/feed/update/urn:li:activity:7307371490583158785                                                                                                                                                                                  ","How to Install and Run Unsloth Locally on Windows ","person     ","sai-kumar-reddy-n-data-scientist                                                                    ","https://www.linkedin.com/in/sai-kumar-reddy-n-data-scientist                                                            ","How to Install and Run Unsloth Locally on Windows ","Unlock Local LLM Fine-Tuning with Unsloth AI on wi","Unlock Local LLM Fine-Tuning with Unsloth AI on wi                                                                                                                                                      ","3w        ","2026-08-16T23:00:33Z"
"unsloth local finetune                            ","7290177944344240128                                                                                                                                   ","https://www.linkedin.com/feed/update/urn:li:activity:7290177944344240128                                                                                                                                                                                  ","Fast Fine Tuning with Unsloth | Kevin Runde       ","person     ","krunde                                                                                              ","https://www.linkedin.com/in/krunde                                                                                      ","Fast Fine Tuning with Unsloth | Kevin Runde       ","I recently came across an incredible YouTube video","I recently came across an incredible YouTube video                                                                                                                                                      ","3w        ","2026-08-16T23:00:35Z"
